"OriginalPath","BackupPath","DeletedUtc","OriginalLength","OriginalWriteTime"
"C:\Users\labuser\AppData\Local\Temp\2\cv_debug.log","C:\Users\labuser\Documents\Training\Day3\temp-cleanup-state\backup-20260805-062820-fb8ea683-44b9-4375-befa-a78e54feea05\QzpcVXNlcnNcbGFidXNlclxBcHBEYXRhXExvY2FsXFRlbXBcMlxjdl9kZWJ1Zy5sb2c.bak","2026-08-05T06:28:20.7011510Z","122","2026-08-05T03:36:43.2872633Z"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat","C:\Users\labuser\Documents\Training\Day3\temp-cleanup-state\backup-20260805-062820-fb8ea683-44b9-4375-befa-a78e54feea05\QzpcVXNlcnNcbGFidXNlclxBcHBEYXRhXExvY2FsXFRlbXBcMlxnZW5fcHlcMy45XGRpY3RzLmRhdA.bak","2026-08-05T06:28:20.7323196Z","10","2026-08-05T03:32:34.4284107Z"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py","C:\Users\labuser\Documents\Training\Day3\temp-cleanup-state\backup-20260805-062820-fb8ea683-44b9-4375-befa-a78e54feea05\QzpcVXNlcnNcbGFidXNlclxBcHBEYXRhXExvY2FsXFRlbXBcMlxnZW5fcHlcMy45XF9faW5pdF9fLnB5.bak","2026-08-05T06:28:20.7634736Z","176","2026-08-05T03:32:34.4284107Z"
